pubmed - zika
year,count
2019,636
2018,1752
2017,1862
2016,1752
2015,42
2014,27
2013,4
2012,6
2011,3
2010,2
2009,5
2008,10
2007,2
2006,2
2005,3
2004,5
2003,7
2002,3
2001,3
1999,1
1998,3
1997,1
1996,3
1994,3
1993,1
1992,1
1991,1
1990,4
1989,3
1988,2
1987,3
1986,2
1985,3
1984,2
1983,8
1982,4
1981,3
1980,2
1979,1
1978,2
1977,3
1976,4
1975,5
1974,1
1973,3
1972,2
1971,4
1970,1
1969,2
1965,3
1964,2
1962,1
1958,1
1956,2
1955,1
1954,1
1953,2
1952,2

